Title,Author,Rating,Number of Reviews,Publication Date,Format,Amazon Link,Category,Description,Players Mentioned,Teams Mentioned,Topics
LeBron James: The Making of an MVP,Brian Windhorst,4.3,500+,April 3 2018,Paperback/Kindle,https://www.amazon.com/LeBron-Inc-Making-Billion-Dollar-Athlete/dp/1455568465,Player Biography,The inside story of how LeBron became King James. Chronicles his transformation from basketball star to sports and business mogul.,LeBron James,N/A,Biography; Business
Drive: The Story of My Life,Larry Bird,4.5,800+,October 1 1989,Paperback,https://www.amazon.com/Drive-Story-My-Life/dp/0553287583,Player Biography/Autobiography,Larry Bird recounts his journey from small-town Indiana to NBA superstardom offering candid insights into his unparalleled work ethic.,Larry Bird,Indiana,Biography; Championship
Shaq Uncut: My Story,Shaquille O'Neal,4.4,1500+,November 15 2011,Paperback/Kindle,https://www.amazon.com/Shaq-Uncut-My-Story/dp/1455504408,Player Biography/Autobiography,Shaq shares his journey from a challenging childhood to becoming one of the most dominant players in NBA history filled with humor and candidness.,Shaquille O'Neal,N/A,Biography; History
The Breaks of the Game,David Halberstam,4.4,850+,September 1 1981,Paperback,https://www.amazon.com/Breaks-Game-David-Halberstam/dp/1401309720,NBA History,A classic of sports journalism following the Portland Trail Blazers. Explores the influence of big media ethics and the consequences of sport as entertainment.,N/A,Trail Blazers; Blazers; Portland,Biography; History
Loose Balls: The Short Wild Life of the American Basketball Association,Terry Pluto,4.6,700+,September 1 1990,Paperback,https://www.amazon.com/Loose-Balls-Short-American-Basketball/dp/1416540776,ABA History,An entertaining and informative account of the ABA the renegade league that revolutionized professional basketball in the 1970s.,N/A,N/A,Biography; History
When the Garden Was Eden: Clyde the Captain Dollar Bill and the Glory Days of the Knicks,Harvey Araton,4.4,350+,October 18 2011,Hardcover/Paperback,https://www.amazon.com/When-Garden-Was-Eden-Clyde/dp/0061956244,Team History,The story of the championship 1970s Knicks teams led by Willis Reed Walt Frazier and Bill Bradley.,Walt Frazier; Willis Reed,Knicks,Biography; History; Championship
The Last Pass: Cousy Russell the Celtics and What Matters in the End,Gary Pomerantz,4.5,400+,September 18 2018,Hardcover/Paperback,https://www.amazon.com/Last-Pass-Cousy-Russell-Matters/dp/0735223262,Team History,An intimate story of race mortality and regret from the greatest dynasty in American professional sports history.,N/A,Celtics,Biography; History
When the Game Was War: The NBA's Greatest Season,Rich Cohen,4.4,200+,October 17 2023,Hardcover,https://www.amazon.com/When-Game-Was-War-Greatest/dp/0593229541,NBA History,A brilliant account of the 1987-88 NBA season and the four transcendent players at the center - Magic Michael Larry and Isiah.,N/A,Magic,Biography; History
The Soul of Basketball: The Epic Showdown Between LeBron Kobe Doc and Dirk,Ian Thomsen,4.0,620+,May 1 2018,Hardcover/Paperback,https://www.amazon.com/Soul-Basketball-Epic-Showdown-Between/dp/0544746902,NBA History,The 2010-11 NBA season covering LeBron's move to Miami Doc Rivers' Celtics and Dirk Nowitzki's championship run.,Dirk Nowitzki; Doc Rivers,Celtics; Miami,Biography; History; Championship
NBA 75: The Definitive History,Dave Zarum,4.6,300+,October 8 2020,Hardcover,https://www.amazon.com/NBA-75-Definitive-Dave-Zarum/dp/0228102901,NBA History,The definitive guide to the history of the NBA covering 75 years with over 75 stories and 150 archival images.,N/A,N/A,Biography; History; Championship
The History of the NBA in Twelve Games: From 24 Seconds to 30000 3-Pointers,Sean Deveney,4.3,150+,November 1 2023,Hardcover,https://www.amazon.com/History-NBA-Twelve-Games-3-Pointers/dp/149306665X,NBA History,Explores 12 crucial games in NBA history putting them into the context of their influence on the direction of the league.,N/A,N/A,Biography; History
The Official NBA Basketball Encyclopedia (3rd Edition),National Basketball Association,4.4,250+,November 9 2000,Hardcover,https://www.amazon.com/Official-NBA-Basketball-Encyclopedia-3rd/dp/0385501307,Reference,The complete official encyclopedia with stats for every player who has ever played in the league.,N/A,N/A,Reference
Basketball on Paper: Rules and Tools for Performance Analysis,Dean Oliver,4.2,200+,March 1 2004,Paperback,https://www.amazon.com/Basketball-Paper-Rules-Performance-Analysis/dp/1574886886,Analytics/Strategy,Foundational basketball analytics text introducing concepts like offensive and defensive efficiency ratings.,N/A,N/A,Analytics; Coaching
Boys Among Men: How the Prep-to-Pro Generation Redefined the NBA,Jonathan Abrams,4.4,350+,February 16 2016,Hardcover/Paperback,https://www.amazon.com/Boys-Among-Men-Prep-Pro-Generation/dp/0804139261,NBA History,Chronicles the prep-to-pro era featuring Kobe LeBron KG and the players who went straight from high school to the NBA.,N/A,N/A,Biography; History; Championship
The Punch: One Night Two Lives and the Fight That Changed Basketball,John Feinstein,4.4,450+,May 7 2002,Paperback,https://www.amazon.com/Punch-Night-Lives-Fight-Basketball/dp/0316279463,NBA History,The story of the infamous 1977 altercation between Rudy Tomjanovich and Kermit Washington and its lasting impact.,N/A,Washington,Biography; History
Seven Seconds or Less: My Season on the Bench with the Runnin and Gunnin Phoenix Suns,Jack McCallum,4.4,350+,May 1 2006,Hardcover/Paperback,https://www.amazon.com/Seven-Seconds-Less-Season-Phoenix/dp/0743298128,Team History,McCallum spent the 2005-06 season with the revolutionary Phoenix Suns as an assistant coach chronicling their high-tempo offense.,N/A,Suns; Phoenix,Biography; History; Coaching
The Miracle of St. Anthony: A Season with Coach Bob Hurley,Adrian Wojnarowski,4.5,350+,January 19 2006,Hardcover/Paperback,https://www.amazon.com/Miracle-St-Anthony-Season-Hurley/dp/1592402127,High School Basketball,Adrian Wojnarowski chronicles St. Anthony High School's remarkable journey under legendary coach Bob Hurley.,N/A,N/A,Coaching
Golden: The Miraculous Rise of Steph Curry,Marcus Thompson,4.5,900+,April 12 2017,Hardcover/Paperback,https://www.amazon.com/Golden-Miraculous-Rise-Steph-Curry/dp/1501147838,Player Biography,The definitive biography of Stephen Curry tracing his journey to NBA superstardom.,Stephen Curry,N/A,Biography
Stephen Curry: The Inspiring Story of One of Basketball's Sharpest Shooters,Clayton Geoffreys,4.5,800+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Stephen-Curry-Inspiring-Basketballs-Basketball/dp/1508682151,Player Biography,Biography highlighting Curry's journey from Davidson to becoming one of the greatest shooters in NBA history.,Stephen Curry,N/A,Biography; History; Championship
LeBron James: The Inspiring Story of One of Basketball's Greatest Players,Clayton Geoffreys,4.5,500+,February 28 2015,Paperback/Kindle,https://www.amazon.com/LeBron-James-Inspiring-Basketballs-Greatest/dp/1508682151,Player Biography,Explores LeBron's rise from the streets of Akron to his meteoric rise as an NBA superstar.,LeBron James,N/A,Biography; Championship
Michael Jordan: The Inspiring Story of One of Basketball's Greatest Players,Clayton Geoffreys,4.5,700+,June 17 2015,Paperback/Kindle,https://www.amazon.com/Michael-Jordan-Inspiring-Basketballs-Basketball/dp/1514166763,Player Biography,Explores the inspirational story of Michael Jordan from being passed until the 3rd pick to becoming a six-time champion.,Michael Jordan,N/A,Biography; Championship
Kobe Bryant: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.5,600+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Kobe-Bryant-Inspiring-Basketballs-Basketball/dp/B00UH93HMC,Player Biography,Biography exploring Kobe Bryant's journey to becoming one of the greatest shooting guards in NBA history.,Kobe Bryant,N/A,Biography; History; Championship
Kevin Durant: The Inspiring Story of One of Basketball's Greatest Small Forwards,Clayton Geoffreys,4.5,230+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Kevin-Durant-Inspiring-Basketballs-Basketball/dp/B00UMWL0PE,Player Biography,Explores Kevin Durant's inspiring journey to becoming an NBA superstar.,Kevin Durant,N/A,Biography; Championship
Giannis Antetokounmpo: The Inspiring Story of One of Basketball's Rising Superstars,Clayton Geoffreys,4.5,300+,April 15 2019,Paperback/Kindle,https://www.amazon.com/Giannis-Antetokounmpo-Inspiring-Basketballs-Basketball/dp/1097568814,Player Biography,Chronicles Giannis's incredible journey from poverty in Greece to NBA stardom.,Giannis Antetokounmpo,N/A,Biography; Championship
The Rise: Kobe Bryant and the Pursuit of Immortality,Mike Sielski,4.1,1100+,January 25 2022,Hardcover/Paperback,https://www.amazon.com/Rise-Kobe-Bryant-Pursuit-Immortality/dp/1250276454,Player Biography,Chronicles Kobe Bryant's high school years in suburban Philadelphia and his development as a basketball prodigy.,Kobe Bryant,Philadelphia,Biography; History
Becoming Kareem: Growing Up On and Off the Court,Kareem Abdul-Jabbar,4.6,350+,November 14 2017,Hardcover/Paperback,https://www.amazon.com/Becoming-Kareem-Growing-Off-Court/dp/0316555398,Player Biography,Kareem Abdul-Jabbar's memoir written for young readers about how he became the star and legend he is today.,Kareem Abdul-Jabbar,N/A,Biography; Kids
Coach Wooden and Me: Our 50-Year Friendship On and Off the Court,Kareem Abdul-Jabbar,4.7,400+,June 6 2017,Hardcover/Paperback,https://www.amazon.com/Coach-Wooden-50-Year-Friendship-Court/dp/1455542288,Player Biography,Kareem reflects on his enduring friendship with coach John Wooden and the life lessons he learned.,Kareem Abdul-Jabbar; John Wooden,N/A,Biography; Coaching; Championship
West by West: My Charmed Tormented Life,Jerry West,4.4,400+,October 25 2011,Hardcover/Paperback,https://www.amazon.com/West-Charmed-Tormented-Life/dp/0316053503,Player Biography/Autobiography,Jerry West's personal autobiography dealing openly with his difficult childhood and lifelong depression.,Jerry West,N/A,Biography
Pistol: The Life of Pete Maravich,Mark Kriegel,4.7,650+,October 10 2007,Hardcover/Paperback,https://www.amazon.com/Pistol-Life-Pete-Maravich/dp/0743284976,Player Biography,The definitive biography of Pete Maravich one of basketball's most colorful and tragic figures.,Pete Maravich,N/A,Biography
The Last Enforcer: Outrageous Stories From the Life and Times of One of the NBA's Fiercest Competitors,Charles Oakley,3.7,630+,April 12 2022,Hardcover/Paperback,https://www.amazon.com/Last-Enforcer-Outrageous-Stories-Fiercest/dp/1982176016,Player Biography/Autobiography,Charles Oakley shares outrageous stories from his career as one of the NBA's toughest players.,N/A,N/A,Biography
Unguarded,Scottie Pippen,4.0,2200+,November 9 2021,Hardcover/Paperback,https://www.amazon.com/Unguarded-Scottie-Pippen/dp/1982165197,Player Biography/Autobiography,Scottie Pippen's candid autobiography sharing life lessons about failure hard work and sacrifice.,Scottie Pippen,N/A,Biography; Championship
Bad As I Wanna Be,Dennis Rodman,4.3,1400+,May 6 1996,Paperback/Kindle,https://www.amazon.com/Bad-As-Wanna-Dennis-Rodman/dp/0440222664,Player Biography/Autobiography,Dennis Rodman chronicles his flamboyant lifestyle and NBA tenure in this uncensored autobiography.,Dennis Rodman,N/A,Biography; Culture
Misunderstood: A Memoir,Allen Iverson,4.7,800+,October 7 2025,Hardcover/Kindle/Audiobook,https://www.amazon.com/Misunderstood-Memoir-Allen-Iverson/dp/0306925990,Player Biography/Autobiography,Allen Iverson's long-awaited memoir sharing his story in his own words.,Allen Iverson,N/A,Biography; Championship
Shot Ready,Stephen Curry,4.8,200+,2024,Hardcover/Kindle,https://www.amazon.com/Shot-Ready-Stephen-Curry/dp/B0DNNXLMMZ,Player Biography,Stephen Curry's book on basketball mindset and preparation.,Stephen Curry,N/A,Biography
Above the Noise,Dave McMenamin,4.2,400+,September 24 2024,Hardcover,https://www.amazon.com/Above-Noise-Story-Lakers-2019-20/dp/0374609500,Team History,Covers the Lakers' championship season with intimate access and photography by Nathaniel Butler.,N/A,Lakers,Biography; History; Championship; Photography
Spaced Out: How the NBA's Three-Point Revolution Changed Everything,Mike Prada,4.2,290+,October 17 2023,Hardcover,https://www.amazon.com/Spaced-Out-Three-Point-Revolution-Everything/dp/1637275463,Analytics/Strategy,Explores how the three-point revolution has fundamentally transformed NBA basketball.,N/A,N/A,Analytics; Coaching
Why So Serious?: The Untold Story of NBA Champion Nikola Jokic,Mike Singer,4.2,620+,March 19 2024,Hardcover/Paperback,https://www.amazon.com/Why-So-Serious-Untold-Champion/dp/1668021498,Player Biography,The revealing biography of Nikola Jokic the best basketball player on the planet.,Nikola Jokic,N/A,Biography; Championship
Dream: The Life and Legacy of Hakeem Olajuwon,Mirin Fader,4.5,100+,October 15 2024,Hardcover,https://www.amazon.com/Dream-Life-Legacy-Hakeem-Olajuwon/dp/0306924145,Player Biography,Mirin Fader's deeply detailed biography of the Hall of Fame center chronicling his journey from Nigeria to NBA superstardom.,Hakeem Olajuwon,N/A,Biography
Basketball (And Other Things),Shea Serrano,4.7,1100+,October 31 2017,Hardcover/Paperback,https://www.amazon.com/Basketball-Other-Things-Illustrated-History/dp/1419726471,Entertainment/Culture,A fun illustrated book of basketball trivia observations and arguments about the NBA.,N/A,N/A,Culture; Kids
Thinking Basketball,Ben Taylor,4.6,300+,October 24 2019,Paperback,https://www.amazon.com/Thinking-Basketball-Ben-Taylor/dp/1699741565,Analytics/Strategy,Explores basketball intelligence and how to think about the game at a deeper level.,N/A,N/A,Analytics; Coaching
The Crossover: A Basketball Story,Kwame Alexander,4.7,3500+,March 18 2014,Hardcover/Paperback,https://www.amazon.com/Crossover-Kwame-Alexander/dp/0544107713,Fiction/Young Adult,Newbery Medal winner - A novel in verse about basketball brotherhood and growing up.,N/A,N/A,Biography
Tall Men Short Shorts: The 1969 NBA Finals - Wilt Russell and the Birth of Modern Basketball,Leigh Montville,4.3,200+,May 4 2021,Hardcover/Paperback,https://www.amazon.com/Tall-Men-Short-Shorts-Basketball/dp/0385545649,NBA History,Vividly recounts the 1969 NBA Finals focusing on Bill Russell's Celtics vs Wilt Chamberlain's Lakers.,Bill Russell; Wilt Chamberlain,Lakers; Celtics,Biography; History; Championship; Rivalry
Wilt 1962: The Night of 100 Points,Gary Pomerantz,4.5,300+,January 21 2005,Hardcover/Paperback,https://www.amazon.com/Wilt-1962-Night-Points-Changed/dp/1400051606,NBA History,The story of the night Wilt Chamberlain scored 100 points against the Knicks.,Wilt Chamberlain,Knicks,Biography; History
Heaven Is a Playground,Rick Telander,4.4,200+,October 1 1976,Paperback,https://www.amazon.com/Heaven-Playground-Rick-Telander/dp/1510752315,Basketball Culture,A classic account of basketball in inner-city New York during the 1970s.,N/A,New York,Culture; Championship
FreeDarko Presents: The Undisputed Guide to Pro Basketball History,Bethlehem Shoals,4.2,150+,November 9 2010,Hardcover,https://www.amazon.com/FreeDarko-Presents-Undisputed-Basketball-History/dp/1608190838,NBA History,An unconventional and visually stunning look at NBA history from the FreeDarko collective.,N/A,N/A,Biography; History; Photography
The All-Time Greatest NBA Book: Counting Down the 50 Greatest Teams,Christian Meyers,4.3,100+,February 10 2022,Paperback/Kindle,https://www.amazon.com/All-Time-Greatest-NBA-Book-Counting/dp/B09SPC5LQC,NBA History,In-depth analysis of the 100 greatest players and 50 greatest teams in NBA history.,N/A,N/A,Biography; History
The Ultimate NBA History and What If Book,Ryan Bawek,4.4,100+,November 14 2022,Paperback,https://www.amazon.com/Ultimate-NBA-History-What-Book/dp/B0BMDPJ7SR,NBA History,A comprehensive resource to learn about the history of the NBA covering every team's history.,N/A,N/A,Biography; History; Championship
The Basketball 100,The Athletic,4.8,600+,October 17 2023,Hardcover,https://www.amazon.com/Basketball-100-Epic-Basketball-History/dp/1668009838,NBA History,An epic basketball history with in-depth player profiles celebrating the game's greatest 100 players.,N/A,N/A,Biography; History
Basketball Skills for Kids,Various,4.5,400+,2023,Paperback,https://www.amazon.com/Basketball-Skills-Kids-Master-Dribbling/dp/B0CCQ5WGBY,Youth/Instructional,Master dribbling defense passing scoring teamwork and more - instructional book for young players.,N/A,N/A,Training; Championship; Kids
Boost Your Basketball IQ,Various,4.5,700+,2023,Paperback,https://www.amazon.com/Boost-Your-Basketball-Strategies-Strategies/dp/B0CGWVX9W9,Coaching/Strategy,How to think the game be the smartest player on the court and win more.,N/A,N/A,Coaching
How to Watch Basketball Like a Genius,Nick Greene,4.0,150+,December 8 2020,Hardcover/Paperback,https://www.amazon.com/How-Watch-Basketball-Like-Genius/dp/1419744909,Basketball Culture,What game designers economists ballet choreographers and theoretical astrophysicists reveal about basketball.,N/A,N/A,Culture
It's a Numbers Game: Basketball,James Buckley Jr.,4.7,200+,October 8 2020,Hardcover,https://www.amazon.com/Its-Numbers-Game-Basketball-Buckley/dp/1426339186,Youth/Reference,An engaging look at basketball through numbers and statistics for young readers.,N/A,N/A,Analytics; Kids
The Mamba Mentality: How I Play (Illustrated),Kobe Bryant,4.8,12000+,October 23 2018,Hardcover,https://www.amazon.com/Mamba-Mentality-How-Play/dp/0374201234,Player Biography,Kobe Bryant's detailed accounts of his approach to basketball paired with stunning photographs.,Kobe Bryant,N/A,Biography; Photography
Basketball Biography Books Series,Clayton Geoffreys,4.5,5000+ (series),2014-Present,Paperback/Kindle,https://www.amazon.com/Basketball-Biography-Books/s?k=Basketball+Biography+Books,Player Biography (Series),Series of 125+ basketball biographies covering current and historic NBA players including LeBron Curry Jordan Durant and more.,N/A,N/A,Biography; Championship
My Sporting Hero: Basketball Collection,Rob Green,4.4,200+,2023,Paperback,https://www.amazon.com/Sporting-Hero-Basketball-Collection-Biographies/dp/B0BXN1YH4Z,Youth Biography,Biographies for children aged 9-12 featuring LeBron James Stephen Curry Giannis and more.,LeBron James; Stephen Curry,N/A,Biography; Championship; Kids
NBA Legends: 18 Inspiring Basketball Stories for Kids,Various,4.5,350+,2023,Paperback,https://www.amazon.com/NBA-Legends-Inspiring-Basketball-Stories/dp/B0CH25QJWV,Youth Biography,Amazing tales to build grit greatness and mental toughness for young readers.,N/A,N/A,Biography; Championship; Kids
Inspirational Basketball GOATS Stories Amazing Facts and Trivia Games,MD Books,4.6,500+,March 23 2025,Paperback,https://www.amazon.com/Inspirational-Basketball-GOATS-Stories-Amazing/dp/B0DH92WVNX,Youth/Entertainment,The ultimate basketball book for children and teens with stories facts and trivia.,N/A,N/A,Kids
Basketball Logos Coloring Book,Various,4.4,200+,2023,Paperback,https://www.amazon.com/Basketball-Logos-Coloring-Book-Color/dp/B0C9S8DDLX,Activity/Entertainment,Color your favorite teams - 30 NBA team logos for kids teens and adults.,N/A,N/A,Championship; Kids
The Little Book of Kobe: In His Own Words,Orange Hippo!,4.5,300+,2020,Hardcover,https://www.amazon.com/Little-Book-Kobe-Own-Words/dp/1800691084,Player Biography,The wisdom of Kobe Bryant - quotes and insights from a king of sport business and charity.,Kobe Bryant,N/A,Biography; Business
Kyrie Irving: The Inspiring Story of One of Basketball's Most Versatile Point Guards,Clayton Geoffreys,4.4,200+,2018,Paperback/Kindle,https://www.amazon.com/Kyrie-Irving-Inspiring-Basketballs-Basketball/dp/1717478980,Player Biography,Biography exploring Kyrie Irving's journey to becoming one of the NBA's most skilled players.,Kyrie Irving,N/A,Biography; Championship
Jayson Tatum: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,150+,2022,Paperback/Kindle,https://www.amazon.com/Jayson-Tatum-Inspiring-Basketballs-Basketball/dp/B09TMGJNK3,Player Biography,Chronicles Jayson Tatum's rise from St. Louis to becoming a Celtics star.,Jayson Tatum,Celtics,Biography; Championship
Anthony Edwards: The Inspiring Story of One of Basketball's Star Guards,Clayton Geoffreys,4.5,100+,2023,Paperback/Kindle,https://www.amazon.com/Anthony-Edwards-Inspiring-Basketballs-Basketball/dp/B0BS1D9C9T,Player Biography,Biography of Anthony Edwards the rising star of the Minnesota Timberwolves.,N/A,Timberwolves; Minnesota,Biography; Championship
Ja Morant: The Inspiring Story of One of Basketball's All-Star Point Guards,Clayton Geoffreys,4.5,100+,2022,Paperback/Kindle,https://www.amazon.com/Ja-Morant-Inspiring-Basketballs-Basketball/dp/B09XJGB1GY,Player Biography,Chronicles Ja Morant's electrifying journey to NBA stardom.,Ja Morant,N/A,Biography; Championship
Shai Gilgeous-Alexander: The Inspiring Story of One of Basketball's Star Guards,Clayton Geoffreys,4.5,100+,2024,Paperback/Kindle,https://www.amazon.com/Shai-Gilgeous-Alexander-Inspiring-Basketballs-Basketball/dp/B0D1MHYNDN,Player Biography,Biography of Shai Gilgeous-Alexander the OKC Thunder superstar.,N/A,Thunder,Biography; Championship
Luka Doncic: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,200+,2020,Paperback/Kindle,https://www.amazon.com/Luka-Doncic-Inspiring-Basketballs-Basketball/dp/1695681673,Player Biography,Chronicles Luka Doncic's journey from Slovenia to becoming an NBA sensation.,Luka Doncic,N/A,Biography; Championship
All About Steph Curry,Basketball Bio Books,4.6,150+,2023,Paperback,https://www.amazon.com/All-About-Steph-Curry-Inspiring/dp/B0CMC2XZ3K,Player Biography,Inspiring stories facts and trivia about basketball's greatest shooter.,N/A,N/A,Biography; Championship; Kids
All About Luka Doncic,Basketball Bio Books,4.5,100+,2023,Paperback,https://www.amazon.com/All-About-Luka-Doncic-Inspiring/dp/B0CMC1R2RX,Player Biography,All the history details and incredible feats about the basketball phenom.,Luka Doncic,N/A,Biography; History
Epic Athletes: Stephen Curry,Dan Wetzel,4.7,500+,September 5 2017,Paperback/Hardcover,https://www.amazon.com/Epic-Athletes-Stephen-Curry-Dan/dp/1250295629,Youth Biography,Epic story of Stephen Curry for young readers part of the Epic Athletes series.,Stephen Curry,N/A,Biography; Kids
Epic Athletes: LeBron James,Dan Wetzel,4.7,400+,September 18 2018,Paperback/Hardcover,https://www.amazon.com/Epic-Athletes-LeBron-James-Dan/dp/1250295637,Youth Biography,Epic story of LeBron James for young readers part of the Epic Athletes series.,LeBron James,N/A,Biography; Kids
Candace Parker: The Inspiring Story of One of Basketball's Greatest Forwards,Clayton Geoffreys,4.4,50+,2021,Paperback/Kindle,https://www.amazon.com/Candace-Parker-Inspiring-Basketballs-Basketball/dp/B091F3S8S8,Women's Basketball,Biography of WNBA legend Candace Parker.,N/A,N/A,Biography; Championship
Basketball Designer Coloring Book for Kids,Sports Kids Activity Books,4.4,150+,2022,Paperback,https://www.amazon.com/Basketball-Designer-Coloring-Book-Kids/dp/B0B5KQQWPQ,Activity/Entertainment,Basketball jersey activity book for children to design and color their own basketball shirts.,N/A,N/A,Championship; Kids
